"NDB_No","Nutr_No","Isfl_Val","SD","n","Min","Max","CC","DataSrc_ID"
"16071","715","0.32274545454545456","0.30714471951715644","25.0","0.009","0.959","","24,57,73"
"16071","716","0.13636363636363635","0.445651718885336","25.0","0.0","1.48","","24,57,73"
"16072","710","0.013333333333333334","0.015275252316519465","3.0","0.0","0.03","B","24,50"
"16072","711","0.02666666666666667","0.046188021535170064","3.0","0.0","0.08","B","24,50"
"16072","713","0.005","0.007071067811865475","2.0","0.0","0.01","B","24,50"
"16072","714","0.0","","1.0","0.0","0.0","","24"
"16072","715","0.01","","1.0","0.01","0.01","","24"
"16072","716","0.0","","1.0","0.0","0.0","","24"
"16074","710","0.0","","1.0","0.0","0.0","C","24"
"16074","711","0.0","","1.0","0.0","0.0","C","24"
"16074","713","0.0","","1.0","0.0","0.0","C","24"
"16074","714","0.37","","1.0","0.37","0.37","","24"
"16074","715","0.55","","1.0","0.55","0.55","","24"
"16074","716","0.0","","1.0","0.0","0.0","","24"
"16076","710","0.1","","1.0","0.1","0.1","C","2"
"16076","711","0.145","","1.0","0.145","0.145","C","2"
"16076","712","0.0","","1.0","0.0","0.0","C","2"
"16076","713","0.245","","1.0","0.245","0.245","C","2"
"16076","714","0.0","","1.0","0.0","0.0","","2"
"16076","715","0.0","","1.0","0.0","0.0","","2"
"16076","716","0.0","","1.0","0.0","0.0","","2"
"16080","710","0.003076923076923077","0.003217923178977214","13.0","0.0","0.01","B","24,50,57,64,73"
"16080","711","0.08499999999999999","0.09385272150200724","13.0","0.0","0.365","B","24,50,57,64,73"
"16080","712","0.0","0.0","3.0","0.0","0.0","B","73"
"16080","713","0.08807692307692308","0.09584360205682393","13.0","0.0","0.375","B","24,50,57,64,73"
"16080","714","0.003525","0.00705","10.0","0.0","0.0141","","24,57,64,73"
"16080","715","0.2058333333333333","0.3500386883379226","5.0","0.0","0.61","","24,57,73"
"16080","716","0.0033333333333333335","0.005773502691896258","5.0","0.0","0.01","","24,57,73"
"16081","710","0.005","0.007071067811865475","2.0","0.0","0.01","C","50,89"
"16081","711","0.005","0.007071067811865475","2.0","0.0","0.01","C","50,89"
